	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	main city	latitude	longitude
Colorado Springs, CO	409	422	435	447	460	473	486	499	511	524	537	548	559	570	581	592	602	613	624	635	646	657	668	679	Colorado Springs, CO	38,863333	-104,791944
Columbia, SC	549	559	569	578	588	598	608	618	627	637	647	659	671	683	695	708	720	732	744	756	768	780	792	804	Columbia, SC	34,000833	-81,035278
Columbus, GA-AL	266	268	269	271	272	274	276	277	279	280	282	283	285	286	287	289	290	291	292	294	295	296	298	299	Columbus, GA	32,492222	-84,940278
Columbus, OH	1405	1426	1447	1467	1488	1509	1530	1551	1571	1592	1613	1635	1658	1680	1703	1725	1747	1770	1792	1815	1837	1859	1882	1904	Columbus, OH	39,983333	-82,983333
Corpus Christi, TX	368	372	375	379	382	386	389	393	396	400	403	406	408	411	413	416	418	421	423	426	428	431	433	436	Corpus Christi, TX	27,742778	-97,401944
Dallas Fort Worth-Arlington, TX	3989	4106	4224	4341	4458	4576	4693	4810	4927	5045	5162	5283	5404	5525	5646	5767	5888	6009	6130	6251	6372	6493	6614	6735	Dallas, TX	32,775833	-96,796667
Davenport-Moline-Rock Island, IA-IL	368	369	370	370	371	372	373	374	374	375	376	376	377	377	378	378	378	379	379	380	380	380	381	381	Davenport, IA	41,543056	-90,590833
Dayton, OH	844	844	845	845	846	846	846	847	847	848	848	847	847	846	846	845	844	844	843	843	842	841	841	840	Dayton, OH	39,759444	-84,191667
Deltona-Daytona Beach-Ormond Beach, FL	371	378	385	393	400	407	414	421	429	436	443	448	453	459	464	469	474	479	485	490	495	500	505	511	Deltona, FL	28,905	-81,211111
Denver-Aurora-Broomfield, CO	1667	1718	1769	1821	1872	1923	1974	2025	2077	2128	2179	2215	2252	2288	2325	2361	2397	2434	2470	2507	2543	2579	2616	2652	Denver, CO	39,739167	-104,984722
Des Moines-West Des Moines, IA	416	423	429	436	442	449	455	462	468	475	481	490	499	508	517	526	534	543	552	561	570	579	588	597	Des Moines, IA	41,590833	-93,620833
Detroit-Warren-Livonia, MI	4249	4269	4290	4310	4331	4351	4371	4392	4412	4433	4453	4437	4422	4406	4390	4375	4359	4343	4327	4312	4296	4280	4265	4249	Detroit, MI	42,331389	-83,045833
Duluth, MN-WI	269	270	270	271	271	272	273	273	274	274	275	276	276	277	277	278	278	279	279	280	280	281	281	282	Duluth, MN	46,786939	-92,098194
Durham-Chapel Hill, NC	345	353	361	369	377	386	394	402	410	418	426	434	442	449	457	465	473	481	488	496	504	512	520	527	Durham, NC	35,988611	-78,907222
El Paso, TX	592	601	610	618	627	636	645	654	662	671	680	692	704	716	728	741	753	765	777	789	801	813	825	837	El Paso, TX	31,790278	-106,423333
Erie, PA	276	277	277	278	278	279	279	280	280	281	281	281	281	281	281	281	281	281	281	281	281	281	281	281	Erie, PA	42,129561	-80,085214
Eugene-Springfield, OR	283	287	291	295	299	303	307	311	315	319	323	326	329	332	335	338	340	343	346	349	352	355	358	361	Eugene, OR	44,051944	-123,086667
Evansville, IN-KY	325	327	329	330	332	334	336	338	339	341	343	345	346	348	349	351	353	354	356	357	359	361	362	364	Evansville, IN	37,977222	-87,550556
Fayetteville, NC	298	302	306	310	314	318	321	325	329	333	337	340	343	346	349	352	354	357	360	363	366	369	372	375	Fayetteville, NC	35,0525	-78,878056
Fayetteville-Springdale-Rogers, AR-MO	239	250	261	271	282	293	304	315	325	336	347	359	370	382	393	405	417	428	440	451	463	475	486	498	Fayetteville, AR	36,076389	-94,160833
Flint, MI	430	431	431	432	432	433	434	434	435	435	436	435	434	433	432	431	430	429	428	427	426	425	424	423	Flint, MI	43,01	-83,69
Fort Collins-Loveland, CO	186	193	199	206	212	219	225	232	238	245	251	256	261	266	271	276	280	285	290	295	300	305	310	315	Fort Collins, CO	40,559167	-105,078056
Fort Smith, AR-OK	234	238	242	246	250	254	257	261	265	269	273	276	278	281	283	286	289	291	294	296	299	302	304	307	Fort Smith, AR	35,368611	-94,398611
Fort Wayne, IN	354	358	361	365	368	372	376	379	383	386	390	393	395	398	400	403	406	408	411	413	416	419	421	424	Fort Wayne, IN	41,08045	-85,13915
Fresno, CA	667	680	693	707	720	733	746	759	773	786	799	812	825	838	851	865	878	891	904	917	930	943	956	969	Fresno, CA	36,75	-119,766667
Gainesville, FL	191	195	199	203	207	212	216	220	224	228	232	235	238	242	245	248	251	254	258	261	264	267	270	274	Gainesville, FL	29,651997	-82,324992
Grand Rapids-Wyoming, MI	646	655	665	674	684	693	702	712	721	731	740	743	747	750	754	757	760	764	767	771	774	777	781	784	Grand Rapids, MI	42,96125	-85,655719
Greeley, CO	132	137	142	147	152	157	161	166	171	176	181	188	195	203	210	217	224	231	239	246	253	260	267	275	Greeley, CO	40,416667	-104,716667
Green Bay, WI	244	248	252	256	260	264	267	271	275	279	283	285	288	290	292	295	297	299	301	304	306	308	311	313	Green Bay, WI	44,513333	-88,015833
Greensboro-High Point, NC	540	550	561	571	581	592	602	612	622	633	643	651	659	667	675	684	692	700	708	716	724	732	740	748	Greensboro, NC	36,08	-79,819444
Greenville-Mauldin-Easley, SC	472	481	490	498	507	516	525	534	542	551	560	568	575	583	591	599	606	614	622	629	637	645	652	660	Greenville, SC	34,844444	-82,385556
Hagerstown-Martinsburg, MD-WV	193	196	199	202	205	208	211	214	217	220	223	228	232	237	241	246	251	255	260	264	269	274	278	283	Hagerstown, MD	39,642778	-77,72
Harrisburg-Carlisle, PA	474	478	481	485	488	492	495	499	502	506	509	513	517	521	525	529	533	537	541	545	549	553	557	561	Harrisburg, PA	40,269722	-76,875556
Hartford-West Hartford-East Hartford, CT	1124	1127	1129	1132	1134	1137	1139	1142	1144	1147	1149	1155	1162	1168	1174	1181	1187	1193	1199	1206	1212	1218	1225	1231	Hartford, CT	41,762736	-72,674286
Hickory-Lenoir-Morganton, NC	292	297	302	307	312	317	322	327	332	337	342	344	347	349	351	354	356	358	360	363	365	367	370	372	Hickory, NC	35,737778	-81,328333
Holland-Grand Haven, MI	188	193	198	203	208	213	218	223	228	233	238	241	243	246	248	251	254	256	259	261	264	267	269	272	Holland, MI	42,783333	-86,1
Honolulu, HI	836	840	844	848	852	856	860	864	868	872	876	884	891	899	907	915	922	930	938	945	953	961	968	976	Honolulu, HI	21,466667	-157,966667
Houston-Sugar Land-Baytown, TX	3767	3862	3957	4051	4146	4241	4336	4431	4525	4620	4715	4838	4961	5085	5208	5331	5454	5577	5701	5824	5947	6070	6193	6317	Houston, TX	29,762778	-95,383056
Huntington-Ashland, WV-KY-OH	288	288	288	288	288	289	289	289	289	289	289	289	289	289	289	289	288	288	288	288	288	288	288	288	Huntington, WV	38,420833	-82,423611
Huntsville, AL	293	298	303	308	313	318	322	327	332	337	342	350	357	365	372	380	388	395	403	410	418	426	433	441	Huntsville, AL	34,73	-86,585
Indianapolis-Carmel, IN	1294	1317	1340	1363	1386	1410	1433	1456	1479	1502	1525	1548	1571	1594	1617	1641	1664	1687	1710	1733	1756	1779	1802	1825	Indianapolis, IN	39,791	-86,148
Jackson, MS	447	452	457	462	467	472	477	482	487	492	497	501	505	510	514	518	522	526	531	535	539	543	547	552	Jackson, MS	32,298889	-90,184722
Jacksonville, FL	925	945	965	984	1004	1024	1044	1064	1083	1103	1123	1145	1168	1190	1212	1235	1257	1279	1301	1324	1346	1368	1391	1413	Jacksonville, FL	30,336944	-81,661389
Kalamazoo-Portage, MI	293	295	297	300	302	304	306	308	311	313	315	316	317	319	320	321	322	323	325	326	327	328	329	331	Kalamazoo, MI	42,29	-85,585833
Kansas City, MO-KS	1637	1657	1677	1697	1717	1737	1756	1776	1796	1816	1836	1856	1876	1896	1916	1936	1955	1975	1995	2015	2035	2055	2075	2095	Kansas City, MO	39,099722	-94,578333
Kennewick-Pasco-Richland, WA	150	154	158	163	167	171	175	179	184	188	192	198	204	210	216	223	229	235	241	247	253	259	265	271	Kennewick, WA	46,203475	-119,15927
Killeen-Temple-Fort Hood, TX	269	275	281	288	294	300	306	312	319	325	331	338	346	353	361	368	375	383	390	398	405	412	420	427	Killeen, TX	31,105556	-97,726667
Kingsport-Bristol-Bristol, TN-VA	276	278	280	283	285	287	289	291	294	296	298	299	300	302	303	304	305	306	308	309	310	311	312	314	Kingsport, TN	36,533333	-82,55
Knoxville, TN	535	543	551	559	567	576	584	592	600	608	616	624	632	641	649	657	665	673	682	690	698	706	714	723	Knoxville, TN	35,972778	-83,942222
Lafayette, LA	209	212	215	218	221	224	227	230	233	236	239	243	246	250	253	257	260	264	267	271	274	278	281	285	Lafayette, LA	30,216667	-92,033333
Lakeland-Winter Haven, FL	405	413	421	429	437	445	452	460	468	476	484	496	508	519	531	543	555	567	578	590	602	614	626	637	Lakeland, FL	28,041111	-81,958889
Lancaster, PA	423	428	433	437	442	447	452	457	461	466	471	476	481	485	490	495	500	505	509	514	519	524	529	533	Lancaster, PA	40,039722	-76,304444
Lansing-East Lansing, MI	433	435	436	438	439	441	442	444	445	447	448	450	451	453	454	456	458	459	461	462	464	466	467	469	Lansing, MI	42,733611	-84,546667
Laredo, TX	133	139	145	151	157	163	169	175	181	187	193	199	204	210	216	222	227	233	239	244	250	256	261	267	Laredo, TX	27,524445	-99,490593
Las Vegas-Paradise, NV	741	805	868	932	995	1059	1122	1186	1249	1313	1376	1434	1491	1549	1606	1664	1721	1779	1836	1894	1951	2009	2066	2124	Las Vegas, NV	36,175	-115,136389
Lexington-Fayette, KY	348	354	360	366	372	378	384	390	396	402	408	414	421	427	434	440	446	453	459	466	472	478	485	491	Lexington, KY	38,029722	-84,494722
Lincoln, NE	229	233	237	240	244	248	252	256	259	263	267	271	274	278	281	285	288	292	295	299	302	306	309	313	Lincoln, NE	40,810556	-96,680278
Little Rock-North Little Rock-Conway, AR	535	543	550	558	565	573	581	588	596	603	611	620	629	638	647	656	664	673	682	691	700	709	718	727	Little Rock, AR	34,736111	-92,331111
Los Angeles-Long Beach-Santa Ana, CA	11274	11383	11492	11602	11711	11820	11929	12038	12148	12257	12366	12412	12459	12505	12551	12598	12644	12690	12736	12783	12829	12875	12922	12968	Los Angeles, CA	34,05	-118,25
Louisville/Jefferson County, KY-IN	1056	1067	1077	1088	1098	1109	1120	1130	1141	1151	1162	1174	1186	1199	1211	1223	1235	1247	1260	1272	1284	1296	1308	1321	Louisville, Ky	38,25	-85,766667
Lubbock, TX	230	232	234	236	238	240	242	244	246	248	250	254	257	261	264	268	271	275	278	282	285	289	292	296	Lubbock, TX	33,566667	-101,883333
Lynchburg, VA	206	208	211	213	215	218	220	222	224	227	229	231	234	236	239	241	243	246	248	251	253	255	258	260	Lynchburg, VA	37,403672	-79,170205
Madison, WI	432	439	446	453	460	467	474	481	488	495	502	509	515	522	529	536	542	549	556	562	569	576	582	589	Madison, WI	43,066667	-89,4
Manchester-Nashua, NH	336	341	345	350	354	359	363	368	372	377	381	383	385	387	389	391	393	395	397	399	401	403	405	407	Manchester, NH	42,990833	-71,463611
McAllen-Edinburg-Mission, TX	384	403	421	440	458	477	495	514	532	551	569	590	610	631	651	672	693	713	734	754	775	796	816	837	McAllen, TX	26,216389	-98,236389
Memphis, TN-MS-AR	1067	1081	1095	1108	1122	1136	1150	1164	1177	1191	1205	1216	1227	1238	1249	1261	1272	1283	1294	1305	1316	1327	1338	1349	Memphis, TN	35,117365	-89,971068
Merced, CA	178	181	185	188	191	195	198	201	204	208	211	216	220	225	229	234	238	243	247	252	256	261	265	270	Merced, CA	37,3	-120,483333
Miami-Fort Lauderdale-Pompano Beach, FL	4056	4151	4246	4342	4437	4532	4627	4722	4818	4913	5008	5064	5119	5175	5231	5287	5342	5398	5454	5509	5565	5621	5676	5732	Miami, FL	25,787676	-80,224145
Milwaukee-Waukesha-West Allis, WI	1432	1439	1446	1453	1460	1467	1473	1480	1487	1494	1501	1507	1512	1518	1523	1529	1534	1540	1545	1551	1556	1562	1567	1573	Milwaukee, WI	43,05	-87,95
Minneapolis-St. Paul-Bloomington, MN-WI	2539	2582	2625	2668	2711	2754	2797	2840	2883	2926	2969	3000	3031	3062	3093	3125	3156	3187	3218	3249	3280	3311	3342	3373	Minneapolis, MN	44,983333	-93,266667
Mobile, AL	379	381	383	385	387	390	392	394	396	398	400	401	403	404	405	407	408	409	410	412	413	414	416	417	Mobile, AL	30,694444	-88,043056
Modesto, CA	371	379	386	394	401	409	417	424	432	439	447	454	460	467	474	481	487	494	501	507	514	521	527	534	Modesto, CA	37,661389	-120,994444
Montgomery, AL	305	309	313	318	322	326	330	334	339	343	347	350	353	355	358	361	364	367	369	372	375	378	381	383	Montgomery, AL	32,361667	-86,279167
Myrtle Beach-North Myrtle Beach-Conway, SC	144	149	155	160	165	171	176	181	186	192	197	204	211	219	226	233	240	247	255	262	269	276	283	291	Myrtle Beach, SC	33,716667	-78,883333
Naples-Marco Island, FL	152	162	172	182	192	202	211	221	231	241	251	258	265	272	279	287	294	301	308	315	322	329	336	343	Naples, FL	26,15	-81,8
Nashville-Davidson-Murfreesboro-Franklin, TN	1048	1074	1101	1127	1154	1180	1206	1233	1259	1286	1312	1340	1368	1395	1423	1451	1479	1507	1534	1562	1590	1618	1646	1673	Nashville, TN	36,166667	-86,783333
New Haven-Milford, CT	804	806	808	810	812	814	816	818	820	822	824	828	832	835	839	843	847	851	854	858	862	866	870	873	New Haven, CT	41,31	-72,923611
New Orleans-Metairie-Kenner, LA	1264	1269	1275	1280	1285	1291	1296	1301	1306	1312	1317	1302	1287	1272	1257	1243	1228	1213	1198	1183	1168	1153	1138	1123	New Orleans, LA	29,966667	-90,05
New York-Northern New Jersey-Long Island, NY-NJ-PA	16846	16994	17141	17289	17437	17585	17732	17880	18028	18175	18323	18380	18438	18495	18553	18610	18667	18725	18782	18840	18897	18954	19012	19069	New York, NY	40,7127	-74,0059
North Port-Bradenton-Sarasota, FL	489	499	509	519	529	540	550	560	570	580	590	601	612	624	635	646	657	668	680	691	702	713	724	736	North Port	27,066111	-82,171944
Norwich-New London, CT	255	255	256	256	257	257	257	258	258	259	259	261	262	264	265	267	268	270	271	273	274	276	277	279	Norwich, CT	41,550278	-72,0875
Ocala, FL	195	201	208	214	221	227	233	240	246	253	259	266	273	281	288	295	302	309	317	324	331	338	345	353	Ocala, FL	29,187778	-82,130556
Ogden-Clearfield, UT	352	361	370	379	388	398	407	416	425	434	443	453	464	474	485	495	505	516	526	537	547	557	568	578	Ogden, UT	41,227778	-111,961111
Oklahoma City, OK	971	983	996	1008	1021	1033	1045	1058	1070	1083	1095	1111	1127	1142	1158	1174	1190	1206	1221	1237	1253	1269	1285	1300	Oklahoma City, OK	35,482222	-97,535
Olympia, WA	161	166	170	175	179	184	189	193	198	202	207	212	216	221	225	230	234	239	243	248	252	257	261	266	Olympia, WA	47,0425	-122,893056
Omaha-Council Bluffs, NE-IA	686	694	702	710	718	727	735	743	751	759	767	777	787	796	806	816	826	836	845	855	865	875	885	894	Omaha, NE	41,25	-96
Orlando-Kissimmee-Sanford, FL	1225	1267	1309	1351	1393	1435	1477	1519	1561	1603	1645	1694	1743	1792	1841	1890	1938	1987	2036	2085	2134	2183	2232	2281	Orlando, FL	28,415833	-81,298889
Oxnard-Thousand Oaks-Ventura, CA	669	677	686	694	703	711	719	728	736	745	753	760	767	774	781	788	795	802	809	816	823	830	837	844	Oxnard, CA	34,191389	-119,1825
Palm Bay-Melbourne-Titusville, FL	399	407	414	422	430	438	445	453	461	468	476	483	489	496	503	510	516	523	530	536	543	550	556	563	Palm Bay, FL	27,997922	-80,670008
Pensacola-Ferry Pass-Brent, FL	344	351	358	364	371	378	385	392	398	405	412	416	419	423	427	431	434	438	442	445	449	453	456	460	Pensacola, FL	30,433333	-87,2
Peoria, IL	359	360	361	361	362	363	364	365	365	366	367	368	369	371	372	373	374	375	377	378	379	380	381	383	Peoria, IL	40,720833	-89,609444
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	5436	5461	5486	5511	5536	5562	5587	5612	5637	5662	5687	5715	5743	5770	5798	5826	5854	5882	5909	5937	5965	5993	6021	6048	Philadelphia, PA	39,95	-75,166667
Phoenix-Mesa-Glendale, AZ	2238	2339	2441	2542	2644	2745	2846	2948	3049	3151	3252	3346	3440	3534	3628	3723	3817	3911	4005	4099	4193	4287	4381	4475	Phoenix, AZ	33,45	-112,066667
Pittsburgh, PA	2468	2464	2461	2457	2453	2450	2446	2442	2438	2435	2431	2424	2416	2409	2401	2394	2386	2379	2371	2364	2356	2349	2341	2334	Pittsburgh, PA	40,441667	-80
Portland–South Portland–Biddeford, ME	441	446	450	455	460	465	469	474	479	483	488	491	493	496	498	501	504	506	509	511	514	517	519	522	Portland, ME	43,666667	-70,266667
Portland–Vancouver–Hillsboro, OR-WA	1524	1564	1605	1645	1686	1726	1766	1807	1847	1888	1928	1958	1988	2017	2047	2077	2107	2137	2166	2196	2226	2256	2286	2315	Portland, OR	45,52	-122,681944
Port St. Lucie, FL	251	258	265	271	278	285	292	299	305	312	319	330	340	351	361	372	382	393	403	414	424	435	445	456	Port St. Lucie, FL	27,275833	-80,355
Poughkeepsie–Newburgh–Middletown, NY	567	573	578	584	589	595	600	606	611	617	622	627	632	636	641	646	651	656	660	665	670	675	680	684	Poughkeepsie, NY	41,7	-73,916667
Providence–New Bedford–Fall River, RI-MA	1510	1517	1525	1532	1539	1547	1554	1561	1568	1576	1583	1585	1587	1588	1590	1592	1594	1596	1597	1599	1601	1603	1605	1606	Providence, RI	41,823611	-71,422222
Provo–Orem, UT	269	280	291	301	312	323	334	345	355	366	377	392	407	422	437	452	467	482	497	512	527	542	557	572	Provo, UT	40,244444	-111,660833
Raleigh–Cary, NC	544	569	595	620	645	671	696	721	746	772	797	830	864	897	930	964	997	1030	1063	1097	1130	1163	1197	1230	Raleigh, NC	35,780556	-78,638889
Reading, PA	337	341	344	348	352	356	359	363	367	370	374	378	381	385	389	393	396	400	404	407	411	415	418	422	Reading, PA	40,341667	-75,926389
Reno–Sparks, NV	257	266	274	283	291	300	309	317	326	334	343	351	359	368	376	384	392	400	409	417	425	433	441	450	Reno, NV	39,527222	-119,821944
Richmond, VA	949	964	979	993	1008	1023	1038	1053	1067	1082	1097	1113	1129	1145	1161	1178	1194	1210	1226	1242	1258	1274	1290	1306	Richmond, VA	37,533333	-77,466667
Riverside–San Bernardino–Ontario, CA	2589	2656	2722	2789	2855	2922	2989	3055	3122	3188	3255	3352	3449	3546	3643	3740	3837	3934	4031	4128	4225	4322	4419	4516	Riverside, CA	33,948056	-117,396111
Roanoke, VA	269	271	273	275	277	279	280	282	284	286	288	290	292	294	296	299	301	303	305	307	309	311	313	315	Roanoke, VA	37,266667	-79,933333
Rochester, NY	1002	1006	1009	1013	1016	1020	1024	1027	1031	1034	1038	1040	1041	1043	1044	1046	1048	1049	1051	1052	1054	1056	1057	1059	Rochester, NY	43,165556	-77,611389
Rockford, IL	284	288	291	295	298	302	306	309	313	316	320	323	326	329	332	335	337	340	343	346	349	352	355	358	Rockford, IL	42,269722	-89,069722
Sacramento–Arden–Arcade–Roseville, CA	1481	1513	1544	1576	1607	1639	1671	1702	1734	1765	1797	1832	1867	1903	1938	1973	2008	2043	2079	2114	2149	2184	2219	2255	Sacramento, CA	38,555556	-121,468889
St. Louis, MO-IL	2581	2593	2605	2616	2628	2640	2652	2664	2675	2687	2699	2710	2722	2733	2745	2756	2767	2779	2790	2802	2813	2824	2836	2847	St. Louis, MO	38,627222	-90,197778
Salem, OR	278	285	292	299	306	313	319	326	333	340	347	351	356	360	365	369	373	378	382	387	391	395	400	404	Salem, OR	44,930833	-123,028889
Salinas, CA	356	361	365	370	374	379	384	388	393	397	402	403	405	406	407	409	410	411	412	414	415	416	418	419	Salinas, CA	36,677778	-121,655556
Salt Lake City, UT	768	788	808	828	848	869	889	909	929	949	969	985	1000	1016	1031	1047	1062	1078	1093	1109	1124	1140	1155	1171	Salt Lake City, UT	40,75	-111,883333
San Antonio-New Braunfels, TX	1408	1438	1469	1499	1530	1560	1590	1621	1651	1682	1712	1755	1798	1841	1884	1928	1971	2014	2057	2100	2143	2186	2229	2272	San Antonio, TX	29,416667	-98,5
San Diego–Carlsbad–San Marcos, CA	2498	2530	2561	2593	2624	2656	2688	2719	2751	2782	2814	2842	2870	2898	2926	2955	2983	3011	3039	3067	3095	3123	3151	3179	San Diego, CA	32,715	-117,1625
San Francisco–Oakland–Fremont, CA	3684	3728	3772	3816	3860	3904	3948	3992	4036	4080	4124	4145	4166	4187	4208	4230	4251	4272	4293	4314	4335	4356	4377	4398	San Francisco, CA	37,783333	-122,416667
San Jose–Sunnyvale–Santa Clara, CA	1534	1554	1574	1595	1615	1635	1655	1675	1696	1716	1736	1746	1756	1766	1776	1787	1797	1807	1817	1827	1837	1847	1857	1867	San Jose, CA	37,333333	-121,9
San Luis Obispo–Paso Robles, CA	217	220	223	226	229	232	235	238	241	244	247	249	252	254	256	259	261	263	265	268	270	272	275	277	San Luis Obispo, CA	35,274167	-120,663056
Santa Barbara–Santa Maria–Goleta, CA	370	373	376	379	382	385	387	390	393	396	399	402	404	407	409	412	414	417	419	422	424	427	429	432	Santa Maria, CA	34,951389	-120,433333
Santa Cruz–Watsonville, CA	230	233	235	238	240	243	246	248	251	253	256	257	257	258	258	259	260	260	261	261	262	263	263	264	Santa Cruz, CA	36,97205	-122,026252
