	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	main city	latitude	longitude
Corvallis, OR	3363,82142	3423,832201	3484,913577	3547,084649	3610,364857	3674,773987	3740,332181	3807,059936	3874,978119	3944,107966	4014,471094	4086,089505	4158,985592	4233,182151	4308,70238	4385,569895	4463,808731	4543,443352	4624,49866	4707	4959	4796	4865	4950,270665	Corvallis, OR	44,566667	-123,283333
Crestview-Fort Walton Beach-Destin, FL	7714,887483	7873,580182	8035,537138	8200,825495	8369,51378	8541,671927	8717,37131	8896,684772	9079,686653	9266,452823	9457,060711	9651,589341	9850,11936	10052,73308	10259,51449	10470,54933	10685,92509	10905,73106	11130,05836	11359	11025	11514	11806	12043,95097	Crestview, FL	30,754167	-86,572778
Cumberland, MD-WV	913,0794507	964,1502048	1018,07747	1075,021019	1135,149559	1198,641234	1265,684153	1336,476946	1411,229352	1490,162841	1573,511273	1661,521585	1754,454528	1852,585436	1956,205045	2065,62035	2181,155519	2303,152852	2431,973792	2568	2708	2767	2849	2999,910696	Cumberland, MD	39,647778	-78,762778
Dallas-Fort Worth-Arlington, TX	58918,90793	64740,54356	71137,40101	78166,31657	85889,74237	94376,3013	103701,3967	113947,8824	125206,7987	137578,1814	151171,9508	166108,8877	182521,7075	200556,2386	220372,7184	242147,2168	266073,2011	292363,2544	321250,9646	352993	376983	398659	420340	458138,0503	Dallas, TX	32,775833	-96,796667
Dalton, GA	4689,978737	4725,457584	4761,204822	4797,222481	4833,512607	4870,077262	4906,918522	4944,038479	4981,439242	5019,122935	5057,091698	5095,347689	5133,893079	5172,730057	5211,860831	5251,287622	5291,01267	5331,03823	5371,366577	5412	5107	5286	5478	5519,128953	Dalton, GA	34,771111	-84,971667
Danville, IL	1040,037834	1085,459226	1132,864299	1182,339686	1233,975803	1287,867014	1344,111807	1402,81297	1464,077778	1528,018193	1594,751068	1664,398355	1737,087336	1812,950851	1892,12754	1974,762099	2061,005542	2151,01548	2244,956407	2343	2399	2508	2544	2650,454503	Danville, IL	40,124444	-87,63
Daphne-Fairhope-Foley, AL	3477,927556	3561,060059	3646,179668	3733,333881	3822,571332	3913,941815	4007,496316	4103,28704	4201,367438	4301,792241	4404,617486	4509,900552	4617,700186	4728,076543	4841,091213	4956,807259	5075,289253	5196,603309	5320,81712	5448	5581	5654	5706	5839,205858	Daphne, AL	30,631111	-87,886389
Davenport-Moline-Rock Island, IA-IL	5504,235796	5833,814125	6183,126689	6553,355117	6945,751793	7361,644091	7802,438863	8269,6272	8764,789476	9289,60069	9845,836141	10435,37742	11060,2188	11722,47394	12424,38307	13168,32057	13956,80298	14792,49752	15678,23113	16617	17234	17936	18566	19614,87662	Davenport, IA	41,543056	-90,590833
Dayton, OH	13956,85243	14560,63639	15190,5405	15847,69474	16533,27797	17248,52004	17994,70403	18773,1685	19585,30993	20432,58521	21316,51425	22238,68274	23200,74492	24204,42665	25251,5284	26343,92856	27483,58678	28672,54747	29912,9435	31207	32140	33536	33858	35261,98516	Dayton, OH	39,759444	-84,191667
Decatur, AL	2620,105526	2703,114632	2788,753598	2877,105743	2968,257025	3062,296123	3159,31453	3259,406634	3362,669815	3469,204537	3579,114449	3692,506482	3809,490954	3930,18168	4054,69608	4183,155294	4315,684301	4452,412036	4593,471524	4739	4826	4916	5036	5190,648957	Decatur, AL	34,580992	-86,983392
Decatur, IL	2885,886769	2980,447042	3078,105719	3178,964325	3283,12771	3390,704159	3501,805507	3616,547252	3735,048676	3857,432973	3983,827368	4114,36326	4249,176349	4388,406785	4532,199309	4680,703404	4834,073451	4992,468891	5156,054387	5325	5364	5555	5669	5848,859658	Decatur, IL	39,851667	-88,944167
Deltona-Daytona Beach-Ormond Beach, FL	9307,297656	9473,695778	9643,068806	9815,469926	9990,953275	10169,57396	10351,38806	10536,45269	10724,82594	10916,56698	11111,73601	11310,39431	11512,60428	11718,42941	11927,93433	12141,18483	12358,24787	12579,19162	12804,08546	13033	12934	12969	13488	13724,90626	Deltona, FL	28,905	-81,211111
Denver-Aurora-Lakewood, CO	44499,20955	47418,23197	50528,73401	53843,2762	57375,243	61138,89683	65149,43572	69423,05464	73977,01087	78829,69378	84000,69897	89510,90749	95382,57012	101639,3972	108306,6545	115411,265	122981,918	131049,1843	139645,6405	148806	155630	161810	167886	178220,9066	Denver, CO	39,739167	-104,984722
Des Moines-West Des Moines, IA	9847,213103	10556,84493	11317,61584	12133,21111	13007,58163	13944,96298	14949,89601	16027,24875	17182,2401	18420,465	19747,92163	21171,0404	22696,71513	24332,33643	26085,82752	27965,6826	29981,00799	32141,56625	34457,82348	36941	38180	39962	42129	44960,91423	Des Moines, IA	41,590833	-93,620833
Detroit-Warren-Dearborn, MI	35174,3824	38304,94622	41714,13411	45426,74397	49469,78073	53872,65279	58667,38595	63888,85633	69575,04407	75767,3096	82510,69446	89854,24898	97851,38899	106560,2844	116044,2824	126372,3679	137619,666	149867,9876	163206,425	177732	188415	199611	208379	225409,2747	Detroit, MI	42,331389	-83,045833
Dothan, AL	2809,795965	2877,870511	2947,594338	3019,007405	3092,150638	3167,065953	3243,796286	3322,385608	3402,878959	3485,322468	3569,763385	3656,2501	3744,832178	3835,560386	3928,486718	4023,664429	4121,148067	4220,993496	4323,257938	4428	4598	4598	4639	4748,733158	Dothan, AL	31,227222	-85,407222
Dover, DE	5505,475845	5542,771453	5580,319712	5618,122332	5656,181038	5694,497565	5733,073658	5771,911076	5811,011589	5850,37698	5890,009043	5929,909584	5970,080423	6010,52339	6051,240329	6092,233095	6133,503558	6175,053598	6216,88511	6259	6050	6124	6336	6378,632999	Dover, DE	39,161944	-75,526667
Dubuque, IA	541,8835748	602,3649114	669,5967609	744,3325694	827,4098775	919,7597062	1022,416991	1136,532179	1263,384124	1404,394415	1561,143309	1735,387443	1929,079514	2144,390169	2383,732326	2649,788217	2945,539445	3274,300402	3639,755408	4046	4326	4593	4914	5407,397411	Dubuque, IA	42,504321	-90,686865
Duluth, MN-WI	3308,773956	3490,316326	3681,819373	3883,82961	4096,923535	4321,709276	4558,828327	4808,95738	5072,810254	5351,139933	5644,740715	5954,450479	6281,153077	6625,780854	6989,317309	7372,799904	7777,323024	8204,041097	8654,171894	9129	9637	10108	10103	10628,48892	Duluth, MN	46,786939	-92,098194
Durham-Chapel Hill, NC	16607,06769	17315,1626	18053,44937	18823,21534	19625,80272	20462,61095	21335,09916	22244,78865	23193,26564	24182,18395	25213,26793	26288,31543	27409,20098	28577,87904	29796,38739	31066,8507	32391,48424	33772,59772	35212,59935	36714	38816	37997	39731	41355,77936	Durham, NC	35,988611	-78,907222
East Stroudsburg, PA	4687,002264	4700,689046	4714,415796	4728,182629	4741,989665	4755,837019	4769,724809	4783,653154	4797,622171	4811,631981	4825,682701	4839,774452	4853,907353	4868,081524	4882,297086	4896,554159	4910,852866	4925,193327	4939,575664	4954	4896	4907	4982	4996,505862	East Stroudsburg, PA	41,001389	-75,18
Eau Claire, WI	1793,862649	1911,001935	2035,79042	2168,727596	2310,345575	2461,211212	2621,928379	2793,140382	2975,532535	3169,834901	3376,825217	3597,332007	3832,237897	4082,483149	4349,069424	4633,06379	4935,602998	5257,898025	5601,238927	5967	6279	6337	6724	7136,16314	Eau Claire, WI	44,816667	-91,5
El Centro, CA	3810,016357	3850,700643	3891,819366	3933,377165	3975,378728	4017,828794	4060,732152	4104,093642	4147,918157	4192,210641	4236,976091	4282,219558	4327,946145	4374,161012	4420,869373	4468,076497	4515,78771	4564,008395	4612,743992	4662	4580	4653	4759	4809,280854	El Centro, CA	32,8	-115,566667
Elizabethtown-Fort Knox, KY	247,1637296	288,7803278	337,404189	394,2151725	460,5917985	538,1446977	628,7556935	734,6234643	858,3168946	1002,837409	1171,691802	1368,97733	1599,481132	1868,796391	2183,458047	2551,101375	2980,647252	3482,51862	4068,893402	4754	5560	6064	6234	7132,391782	Elizabethtown, KY	37,7	-85,866667
Elkhart-Goshen, IN	110,6050463	137,9380887	172,0257525	214,5372594	267,5543342	333,6731435	416,1314264	518,9670411	647,2156937	807,1575283	1006,624657	1255,384685	1565,619019	1952,519368	2435,031664	3036,783808	3787,242702	4723,157191	5890,357606	7346	9216	9296	10533	12620,16054	Elkhart, IN	41,683056	-85,968889
Elmira, NY	720,9829248	772,1398291	826,9265404	885,6006095	948,4378614	1015,733692	1087,804458	1164,988961	1247,650043	1336,176292	1430,983867	1532,518455	1641,257369	1757,711786	1882,429156	2015,99577	2159,039522	2312,232856	2476,29593	2652	2867	2973	3016	3215,820314	Elmira, NY	42,085278	-76,809167
El Paso, TX	5999,534381	6477,553161	6993,658556	7550,885153	8152,509326	8802,068494	9503,381925	10260,57319	11078,09441	11960,75244	12913,73711	13942,65177	15053,54621	16252,95225	17547,92214	18946,07003	20455,61673	22085,43803	23845,11694	25745	27084	29069	29717	31910,00154	El Paso, TX	31,790278	-106,423333
Erie, PA	3270,715465	3449,746725	3638,577735	3837,744909	4047,814026	4269,381831	4503,077735	4749,565603	5009,545637	5283,756365	5572,976742	5878,028362	6199,777788	6539,13902	6897,076087	7274,605786	7672,800571	8092,791601	8535,77195	9003	9018	9680	9958	10474,78962	Erie, PA	42,129561	-80,085214
Eugene, OR	4407,536314	4626,451934	4856,24076	5097,442848	5350,625076	5616,38248	5895,339649	6188,152197	6495,508298	6818,130309	7156,776465	7512,242659	7885,364318	8277,018362	8688,125267	9119,651226	9572,610422	10048,06741	10547,13963	11071	11404	11806	12152	12727,0114	Eugene, OR	44,051944	-123,086667
Evansville, IN-KY	4252,124466	4527,195749	4820,061481	5131,87279	5463,855271	5817,313805	6193,637683	6594,306073	7020,893829	7475,077681	7958,642832	8473,489966	9021,642724	9605,255659	10226,6227	10888,18617	11592,5464	12342,47191	13140,91033	13991	14682	15755	15740	16696,35847	Evansville, IN	37,977222	-87,550556
Fairbanks, AK	1253,617074	1345,552655	1444,230446	1550,144897	1663,826717	1785,845537	1916,812759	2057,384627	2208,265509	2370,21143	2544,033858	2730,603771	2930,856024	3145,794026	3376,494777	3624,114256	3889,89322	4175,163418	4481,354264	4810	4981	5340	5495	5870,448715	Fairbanks, AK	64,843611	-147,723056
Fargo, ND-MN	1509,759708	1675,30168	1858,99498	2062,829863	2289,014812	2540,000464	2818,506164	3127,549427	3470,478634	3851,009305	4273,264362	4741,818797	5261,749239	5838,688959	6478,888903	7189,285423	7977,575424	8852,299764	9822,935784	10900	11665	12301	13198	14502,13702	Fargo, ND	46,877222	-96,789444
Farmington, NM	3112,494478	3204,417245	3299,054811	3396,487353	3496,797416	3600,069984	3706,392549	3815,855188	3928,550639	4044,574378	4164,024701	4287,002807	4413,612883	4543,962194	4678,161173	4816,323514	4958,566268	5105,009944	5255,778611	5411	5293	5897	5691	5854,253544	Farmington, NM	36,751667	-108,189722
Fayetteville, NC	7118,293402	7454,351456	7806,274972	8174,812967	8560,749817	8964,906932	9388,144499	9831,363315	10295,5067	10781,56253	11290,56528	11823,59829	12381,79605	12966,3466	13578,49405	14219,54129	14890,85267	15593,85698	16330,05047	17101	17607	18428	18685	19527,35963	Fayetteville, NC	35,0525	-78,878056
Fayetteville-Springdale-Rogers, AR-MO	5168,408159	5521,275134	5898,233686	6300,928638	6731,117114	7190,676201	7681,611142	8206,064088	8766,323441	9364,833841	10004,20683	10687,23226	11416,89045	12196,36519	13029,05764	13918,60119	14868,87728	15884,03236	16968,49594	18127	19667	20121	20519	21830,37777	Fayetteville, AR	36,076389	-94,160833
Flagstaff, AZ	3088,905277	3160,884754	3234,541539	3309,914718	3387,044286	3465,971173	3546,73726	3629,385406	3713,959467	3800,504322	3889,065897	3979,691185	4072,428276	4167,326381	4264,435857	4363,808236	4465,496247	4569,553852	4676,036268	4785	4744	4843	5004	5117,950786	Flagstaff, AZ	35,199167	-111,631111
Flint, MI	3247,485034	3453,044608	3671,615709	3904,021941	4151,139042	4413,898182	4693,289471	4990,365693	5306,24627	5642,121481	5999,25695	6378,998408	6782,776773	7212,113533	7668,626487	8154,035836	8670,170665	9218,975839	9802,519328	10423	10943	11307	11713	12410,27431	Flint, MI	43,01	-83,69
Florence, SC	3511,725073	3641,753892	3776,597295	3916,433551	4061,447531	4211,830952	4367,782626	4529,508731	4697,223077	4871,14739	5051,511607	5238,55418	5432,522386	5633,672664	5842,270942	6058,593	6282,924825	6515,562996	6756,815071	7007	7014	7103	7513	7781,251658	Florence, SC	34,183889	-79,774167
Florence-Muscle Shoals, AL	1312,644916	1389,053413	1469,909617	1555,472425	1646,015807	1741,829682	1843,22084	1950,513935	2064,052514	2184,200126	2311,341478	2445,883674	2588,257513	2738,918873	2898,350166	3067,061886	3245,594242	3434,518891	3634,440762	3846	4051	4163	4284	4519,652567	Florence, AL	34,820278	-87,662778
Fond du Lac, WI	877,7986241	943,0921927	1013,242513	1088,610847	1169,585326	1256,582956	1350,051758	1450,473078	1558,364069	1674,280349	1798,818866	1932,62097	2076,375718	2230,82342	2396,759454	2575,038359	2766,578239	2972,36549	3193,459879	3431	3583	3717	3928	4199,949168	Fond du Lac, WI	43,766667	-88,45
Fort Collins, CO	3159,796727	3373,784553	3602,264068	3846,216677	4106,690251	4384,803622	4681,751393	4998,809067	5337,338529	5698,793891	6084,727741	6496,797812	6936,774102	7406,546476	7908,132786	8443,687535	9015,511135	9626,059786	10277,95603	10974	11534	11933	12425	13213,07603	Fort Collins, CO	40,559167	-105,078056
Fort Smith, AR-OK	4343,099665	4514,729856	4693,142511	4878,605661	5071,397925	5271,808935	5480,139768	5696,703398	5921,825169	6155,84328	6399,109297	6651,988676	6914,861317	7188,122135	7472,181646	7767,466594	8074,420584	8393,504751	8725,198456	9070	9289	9485	9777	10148,67858	Fort Smith, AR	35,368611	-94,398611
Fort Wayne, IN	4347,997492	4665,981101	5007,219916	5373,414668	5766,390467	6188,105902	6640,662799	7126,316695	7647,488087	8206,774487	8806,963373	9451,046081	10142,23271	10883,96814	11679,94916	12534,14293	13450,80675	14434,50927	15490,15325	16623	17605	18168	18990	20284,15628	Fort Wayne, IN	41,08045	-85,13915
Fresno, CA	15641,71963	16182,86092	16742,72355	17321,9552	17921,22596	18541,22911	19182,6819	19846,32641	20532,93037	21243,28811	21978,22139	22738,58045	23525,2449	24339,12482	25181,16174	26052,3298	26953,6368	27886,12544	28850,87448	29849	30469	31202	31890	32956,37485	Fresno, CA	36,75	-119,766667
Gadsden, AL	1658,312262	1696,68089	1735,937258	1776,101907	1817,195851	1859,240593	1902,25813	1946,27097	1991,302143	2037,375209	2084,514274	2132,744003	2182,089631	2232,576976	2284,232455	2337,083095	2391,156548	2446,481107	2503,085719	2561	2607	2681	2678	2738,560112	Gadsden, AL	34,010147	-86,010356
Gainesville, FL	7165,665251	7295,832606	7428,364506	7563,303905	7700,694535	7840,580924	7983,008409	8128,02315	8275,672145	8426,003247	8579,065178	8734,907543	8893,580852	9055,136528	9219,626932	9387,105374	9557,626133	9731,244474	9908,016666	10088	10157	10330	10452	10638,47758	Gainesville, FL	29,651997	-82,324992
Gainesville, GA	2313,376656	2436,743346	2566,688878	2703,564086	2847,738513	2999,601407	3159,562776	3328,054492	3505,531457	3692,472832	3889,38333	4096,794582	4315,266566	4545,389124	4787,783552	5043,104279	5312,040632	5595,318701	5893,703292	6208	6376	6836	6850	7196,799686	Gainesville, GA	34,304444	-83,833889
Gettysburg, PA	2041,670303	2066,761839	2092,161742	2117,873803	2143,901858	2170,24979	2196,92153	2223,921058	2251,252403	2278,919642	2306,926903	2335,278365	2363,978259	2393,030866	2422,440521	2452,211612	2482,348581	2512,855925	2543,738196	2575	2493	2516	2634	2665,978094	Gettysburg, PA	39,828333	-77,232222
Glens Falls, NY	1585,439568	1660,085378	1738,24567	1820,085912	1905,779363	1995,507441	2089,460105	2187,836257	2290,844163	2398,701898	2511,6378	2629,89096	2753,711727	2883,362235	3019,116959	3161,2633	3310,102187	3465,948721	3629,132836	3800	3932	4033	4152	4338,694859	Glens Falls, NY	43,312222	-73,648333
Goldsboro, NC	2075,882049	2149,050078	2224,79704	2303,213833	2384,394561	2468,436643	2555,440933	2645,511838	2738,757447	2835,289658	2935,224312	3038,681335	3145,784878	3256,66347	3371,450168	3490,282721	3613,303731	3740,660828	3872,506844	4009	4008	4096	4286	4431,924087	Goldsboro, NC	35,381944	-77,978056
Grand Forks, ND-MN	969,3041402	1042,099305	1120,361418	1204,501051	1294,959607	1392,211639	1496,767342	1609,175224	1730,024987	1859,95062	1999,633725	2149,807092	2311,258545	2484,835072	2671,447272	2872,074131	3087,768154	3319,660892	3568,968877	3837	3998	4156	4398	4705,219411	Grand Forks, ND	47,925278	-97,0325
Grand Island, NE	794,932104	856,7735124	923,4258471	995,2633722	1072,689467	1156,138893	1246,080231	1343,018518	1447,498079	1560,105582	1681,473339	1812,28285	1953,268631	2105,222342	2268,997228	2445,512912	2635,76056	2840,808443	3061,80794	3300	3421	3712	3796	4069,993048	Grand Island, NE	40,922222	-98,358056
Grand Junction, CO	3238,369752	3311,996531	3387,297269	3464,310028	3543,073729	3623,628182	3706,014102	3790,273127	3876,447845	3964,581811	4054,719568	4146,906676	4241,189726	4337,616374	4436,235353	4537,09651	4640,250821	4745,750423	4853,648638	4964	4912	5099	5185	5300,264265	Grand Junction, CO	39,066667	-108,566667
Grand Rapids-Wyoming, MI	7541,426112	8205,362755	8927,751455	9713,738249	10568,92223	11499,39541	12511,78615	13613,30636	14811,80288	16115,81336	17534,62711	19078,35124	20757,98269	22585,48655	24573,88131	26737,33157	29091,24897	31652,40198	34439,03533	37471	38967	41289	43862	47411,09221	Grand Rapids, MI	42,96125	-85,655719
Grants Pass, OR	1078,346842	1106,180038	1134,731637	1164,02018	1194,064689	1224,884677	1256,500159	1288,931668	1322,200267	1356,32756	1391,335713	1427,247461	1464,086126	1501,875634	1540,640526	1580,405978	1621,197816	1663,042532	1705,967301	1750	1744	1793	1839	1885,272077	Grants Pass, OR	42,438889	-123,328333
Great Falls, MT	1248,378437	1306,179542	1366,656893	1429,934403	1496,141721	1565,414501	1637,894676	1713,730753	1793,078111	1876,099328	1962,964505	2053,851623	2148,9469	2248,445178	2352,550322	2461,475632	2575,444287	2694,689799	2819,456492	2950	3049	3183	3218	3360,403054	Great Falls, MT	47,503611	-111,286389
Greeley, CO	1963,957642	2100,186852	2245,865552	2401,649203	2568,238729	2746,383678	2936,885587	3140,601591	3358,448283	3591,405831	3840,522395	4106,918839	4391,793776	4696,42896	5022,195053	5370,557793	5743,084588	6141,451569	6567,451132	7023	7116	7553	7969	8485,911424	Greeley, CO	40,416667	-104,716667
Green Bay, WI	5483,610407	5769,623745	6070,554924	6387,182027	6720,32372	7070,841367	7439,641262	7827,676967	8235,951781	8665,521332	9117,496308	9593,045327	10093,39796	10619,84792	11173,75637	11756,55549	12369,75217	13014,93187	13693,76275	14408	14884	15321	15884	16671,40591	Green Bay, WI	44,513333	-88,015833
Greensboro-High Point, NC	11634,58905	12294,45116	12991,73771	13728,57125	14507,1947	15329,97822	16199,42635	17118,18571	18089,05301	19114,98359	20199,10038	21344,70345	22555,28003	23834,51512	25186,30273	26614,75772	28124,22832	29719,30938	31404,85633	33186	34153	35292	36875	38854,13798	Greensboro, NC	36,08	-79,819444
Greenville, NC	1590,639869	1707,024251	1831,924278	1965,963025	2109,809157	2264,180262	2429,846436	2607,634119	2798,43022	3003,186544	3222,924536	3458,740379	3711,810461	3983,397245	4274,855567	4587,639393	4923,309074	5283,539127	5670,126594	6085	6149	6452	6946	7419,576118	Greenville, NC	35,601667	-77,3725
Greenville-Anderson-Mauldin, SC	8155,625722	8724,490249	9333,033748	9984,023875	10680,42133	11425,39333	12222,32801	13074,84983	13986,83605	14962,43438	16006,08185	17122,52496	18316,8413	19594,46262	20961,19953	22423,26795	23987,31737	25660,46109	27450,30856	29365	30552	32319	33358	35533,04775	Greenville, SC	34,844444	-82,385556
Gulfport-Biloxi-Pascagoula, MS	10206,59693	10438,954	10676,60076	10919,65763	11168,2478	11422,49721	11682,5347	11948,49205	12220,50402	12498,70844	12783,2463	13074,26176	13371,90231	13676,31875	13987,66535	14306,09987	14631,78368	14964,8818	15305,56303	15654	15978	15996	16359	16723,12932	Gulfport, MS	30,401667	-89,076111
Hagerstown-Martinsburg, MD-WV	2147,00974	2290,476224	2443,529358	2606,809738	2781,000762	2966,831498	3165,079729	3376,575211	3602,203145	3842,907884	4099,696883	4373,644916	4665,898577	4977,681076	5310,29736	5665,139574	6043,692889	6447,541717	6878,376343	7338	7540	7906	8295	8814,566398	Hagerstown, MD	39,642778	-77,72
Hammond, LA	641,5937003	698,1606942	759,7149952	826,6963161	899,5831375	978,8961261	1065,201854	1159,116845	1261,311981	1372,517293	1493,527174	1625,206058	1768,494592	1924,416358	2094,085182	2278,713092	2479,618976	2698,238004	2936,131881	3195	3614	3835	3719	4020,324111	Hammond, LA	30,504444	-90,465556
Hanford-Corcoran, CA	945,7018002	1018,683143	1097,296575	1181,976733	1273,191796	1371,446073	1477,282793	1591,287104	1714,089313	1846,368368	1988,855612	2142,338828	2307,666593	2485,75297	2677,582561	2884,215954	3106,795581	3346,552039	3604,810892	3883	4049	4399	4461	4780,598664	Hanford, CA	36,3275	-119,645556
Harrisburg-Carlisle, PA	12645,29178	13177,76799	13732,66607	14310,93015	14913,54416	15541,53343	16195,96648	16877,95683	17588,66487	18329,29987	19101,12202	19905,44456	20743,63604	21617,12263	22527,39056	23475,98866	24464,53094	25494,69941	26568,24689	27687	27804	28787	29974	31185,1643	Harrisburg, PA	40,269722	-76,875556
Harrisonburg, VA	1991,107826	2110,01435	2236,021825	2369,554313	2511,061198	2661,0187	2819,931481	2988,33434	3166,79401	3355,911074	3556,321978	3768,701176	3993,763399	4232,266063	4485,011815	4752,851233	5036,685694	5337,470402	5656,217605	5994	6326	6578	6693	7070,173436	Harrisonburg, VA	38,449444	-78,868889
Hartford-West Hartford-East Hartford, CT	66574,17951	67187,73132	67806,93766	68431,85065	69062,52287	69699,00741	70341,35782	70989,62819	71643,87305	72304,14747	72970,50702	73643,00778	74321,70636	75006,65986	75697,92594	76395,56276	77099,62906	77810,18407	78527,2876	79251	77764	79165	80670	81406,67057	Hartford, CT	41,762736	-72,674286
Hattiesburg, MS	1700,800884	1797,626871	1899,965126	2008,129462	2122,451555	2243,281964	2370,991205	2505,970887	2648,634914	2799,420753	2958,790777	3127,233679	3305,265975	3493,433586	3692,313512	3902,515601	4124,68442	4359,50123	4607,686078	4870	4985	5120	5412	5703,507792	Hattiesburg, MS	31,315833	-89,308611
Hickory-Lenoir-Morganton, NC	4466,705777	4687,64316	4919,508803	5162,843254	5418,213796	5686,215771	5967,473971	6262,644091	6572,414257	6897,506635	7238,679109	7596,727051	7972,485177	8366,829486	8780,679311	9214,999456	9670,802448	10149,1509	10651,15997	11178	11508	11846	12265	12843,07237	Hickory, NC	35,737778	-81,328333
Hilton Head Island-Bluffton-Beaufort, SC	6421,165327	6471,312989	6521,852291	6572,786292	6624,118074	6675,850745	6727,987435	6780,531299	6833,485516	6886,853293	6940,637859	6994,842468	7049,470402	7104,524966	7160,009491	7215,927337	7272,281887	7329,076551	7386,314768	7444	7353	7326	7556	7614,553145	Hilton Head Island, SC	32,178889	-80,743056
Hinesville, GA	495,4724549	547,5410351	605,0814372	668,6686881	738,9382437	816,5923389	902,4070057	997,2398286	1102,038514	1217,850362	1345,832733	1487,26461	1643,559387	1816,278985	2007,149471	2218,078297	2451,173369	2708,76411	2993,42474	3308	3556	3935	3969	4346,433254	Hinesville, GA	31,8325	-81,611667
Homosassa Springs, FL	2095,938187	2143,878495	2192,91534	2243,073803	2294,379538	2346,858787	2400,538392	2455,445808	2511,609119	2569,057051	2627,818988	2687,924984	2749,405782	2812,292827	2876,618286	2942,415058	3009,716797	3078,557926	3148,973655	3221	3263	3289	3367	3442,291122	Homosassa Springs, FL	28,807222	-82,55
Hot Springs, AR	873,5773223	925,5271352	980,5662946	1038,878517	1100,658446	1166,112297	1235,458552	1308,928684	1386,76793	1469,236113	1556,608506	1649,176752	1747,249838	1851,155124	1961,239441	2077,87024	2201,43683	2332,351665	2471,051731	2618	2710	2807	2923	3087,06791	Hot Springs, AR	34,497222	-93,055278
Houma-Thibodaux, LA	4745,387168	4943,926594	5150,772593	5366,272698	5590,788984	5824,698673	6068,39477	6322,286723	6586,801109	6862,382356	7149,493482	7448,61688	7760,255123	8084,931813	8423,192458	8775,605388	9142,762712	9525,281314	9923,803883	10339	10999	11103	11181	11630,00936	Houma, LA	29,5875	-90,716111
Houston-The Woodlands-Sugar Land, TX	30994,4895	35246,47184	40081,76284	45580,38375	51833,33356	58944,09495	67030,34689	76225,91218	86682,97207	98574,58483	112097,5498	127475,6641	144963,4266	164850,2498	187465,2489	213182,689	242428,179	275685,7145	313505,6887	356514	386128	425301	449439	503657,3825	Houston, TX	29,762778	-95,383056
Huntington-Ashland, WV-KY-OH	3959,60482	4192,728608	4439,57768	4700,96012	4977,731586	5270,798116	5581,119091	5909,710373	6257,647638	6626,069889	7016,183192	7429,264618	7866,666428	8329,820496	8820,243	9339,539383	9889,40961	10471,65373	11088,17778	11741	12243	12727	13095	13823,10723	Huntington, WV	38,420833	-82,423611
Huntsville, AL	7391,55135	7782,294087	8193,692824	8626,839508	9082,883811	9563,036178	10068,57105	10600,83022	11161,22643	11751,24712	12372,45831	13026,50886	13715,13477	14440,16379	15203,52034	16007,23053	16853,4276	17744,35754	18682,3851	19670	20988	21390	21695	22784,28853	Huntsville, AL	34,73	-86,585
Idaho Falls, ID	4098,950538	4143,910597	4189,36381	4235,315583	4281,771387	4328,73675	4376,21726	4424,218569	4472,746388	4521,806493	4571,404723	4621,54698	4672,239231	4723,487508	4775,297912	4827,676607	4880,629827	4934,163873	4988,285117	5043	5073	5219	5151	5206,886647	Idaho Falls, ID	43,5	-112,033333
Indianapolis-Carmel-Anderson, IN	26458,43434	28399,55787	30483,09197	32719,48458	35119,95018	37696,52599	40462,13232	43430,63742	46616,92695	50036,97867	53707,94255	57648,22676	61877,59	66417,24055	71289,94265	76520,13063	82134,03145	88159,79621	94627,64132	101570	105904	110385	116094	124029,0811	Indianapolis, IN	39,791	-86,148
Iowa City, IA	2467,298187	2613,870987	2769,151119	2933,655853	3107,933188	3292,563676	3488,162359	3695,380816	3914,909333	4147,479204	4393,865167	4654,887983	4931,417171	5224,373906	5534,734086	5863,531584	6211,861691	6580,884764	6971,830095	7386	7503	7987	8241	8703,114025	Iowa City, IA	41,666667	-91,533333
Ithaca, NY	2183,386151	2252,165305	2323,111081	2396,29173	2471,777652	2549,641468	2629,958082	2712,804762	2798,261206	2886,409626	2977,334822	3071,124265	3167,868182	3267,659643	3370,594649	3476,772225	3586,294516	3699,266884	3815,79801	3936	3992	4056	4181	4308,684075	Ithaca, NY	42,443333	-76,5
Jackson, MI	1011,228804	1094,930545	1185,560472	1283,692047	1389,946199	1504,995252	1629,567181	1764,450216	1910,49783	2068,634143	2239,859763	2425,258122	2626,002332	2843,362602	3078,714284	3333,546567	3609,471907	3908,236223	4231,72995	4582	4868	5131	5318	5724,533419	Jackson, MI	42,245833	-84,401389
Jackson, MS	8942,194992	9417,496378	9918,061294	10445,23256	11000,42438	11585,12612	12200,90631	12849,41685	13532,39744	14251,68026	15009,19488	15806,9734	16647,15597	17531,99647	18463,8686	19445,2722	20478,84	21567,34467	22713,70626	23921	25040	25600	26414	27747,11554	Jackson, MS	32,298889	-90,184722
